game,date,group,home,away,p_home,p_draw,p_away,predicted_result,exp_goals,rounded_score,top3_scores
1,2026-06-11,A,Mexico,South Africa,79,15,6,Mexico win,2.40-0.51,2-1,"2-0 16%, 1-0 13%, 3-0 13%"
2,2026-06-11,A,South Korea,Czech Republic,43,28,29,South Korea win,1.42-1.14,1-1,"1-1 13%, 1-0 10%, 2-1 9%"
3,2026-06-12,B,Canada,Bosnia and Herzegovina,69,21,11,Canada win,2.00-0.65,2-1,"2-0 14%, 1-0 14%, 1-1 10%"
4,2026-06-12,D,United States,Paraguay,55,26,19,United States win,1.64-0.86,2-1,"1-0 13%, 1-1 12%, 2-0 11%"
5,2026-06-13,B,Qatar,Switzerland,4,11,85,Switzerland win,0.57-2.98,1-3,"0-2 13%, 0-3 13%, 0-4 9%"
6,2026-06-13,C,Brazil,Morocco,47,32,21,Brazil win,1.18-0.70,1-1,"1-0 17%, 0-0 16%, 1-1 13%"
7,2026-06-13,C,Haiti,Scotland,18,22,60,Scotland win,1.00-1.99,1-2,"1-1 11%, 1-2 10%, 0-2 10%"
8,2026-06-13,D,Australia,Turkey,26,28,47,Turkey win,1.00-1.44,1-1,"1-1 13%, 0-1 12%, 0-0 9%"
9,2026-06-14,E,Germany,Curacao,94,5,1,Germany win,4.04-0.46,4-0,"4-0 12%, 3-0 12%, 5-0 10%"
10,2026-06-14,E,Ivory Coast,Ecuador,23,35,42,Ecuador win,0.65-1.00,1-1,"0-0 20%, 0-1 18%, 1-1 13%"
11,2026-06-14,F,Netherlands,Japan,40,30,30,Netherlands win,1.25-1.04,1-1,"1-1 14%, 1-0 12%, 0-0 11%"
12,2026-06-14,F,Sweden,Tunisia,50,27,22,Sweden win,1.50-0.91,1-1,"1-1 13%, 1-0 13%, 2-0 10%"
13,2026-06-15,G,Belgium,Egypt,64,24,12,Belgium win,1.72-0.60,2-1,"1-0 16%, 2-0 15%, 1-1 11%"
14,2026-06-15,G,Iran,New Zealand,59,24,17,Iran win,1.79-0.83,2-1,"1-0 12%, 2-0 12%, 1-1 11%"
15,2026-06-15,H,Spain,Cape Verde,96,4,1,Spain win,3.98-0.28,4-0,"4-0 15%, 3-0 15%, 5-0 12%"
16,2026-06-15,H,Saudi Arabia,Uruguay,8,23,69,Uruguay win,0.43-1.72,0-2,"0-1 20%, 0-2 17%, 0-0 12%"
17,2026-06-16,I,France,Senegal,63,25,13,France win,1.69-0.62,2-1,"1-0 16%, 2-0 14%, 1-1 11%"
18,2026-06-16,I,Iraq,Norway,7,17,76,Norway win,0.50-2.21,1-2,"0-2 16%, 0-1 14%, 0-3 12%"
19,2026-06-16,J,Argentina,Algeria,75,18,6,Argentina win,2.06-0.44,2-0,"2-0 17%, 1-0 16%, 3-0 12%"
20,2026-06-16,J,Austria,Jordan,68,20,12,Austria win,2.06-0.73,2-1,"2-0 13%, 1-0 12%, 1-1 10%"
21,2026-06-17,K,Portugal,DR Congo,79,16,5,Portugal win,2.19-0.39,2-0,"2-0 18%, 1-0 16%, 3-0 13%"
22,2026-06-17,K,Uzbekistan,Colombia,7,18,75,Colombia win,0.52-2.15,1-2,"0-2 16%, 0-1 14%, 0-3 11%"
23,2026-06-17,L,England,Croatia,56,28,16,England win,1.43-0.62,1-1,"1-0 18%, 0-0 14%, 2-0 13%"
24,2026-06-17,L,Ghana,Panama,32,29,38,Panama win,1.11-1.23,1-1,"1-1 14%, 0-1 11%, 0-0 10%"
